875.00,0.756
875.50,0.759
876.00,0.762
876.50,0.765
877.00,0.764
877.50,0.764
878.00,0.766
878.50,0.773
879.00,0.774
879.50,0.776
880.00,0.779
880.50,0.781
881.00,0.783
881.50,0.785
882.00,0.787
882.50,0.790
883.00,0.793
883.50,0.795
884.00,0.798
884.50,0.800
885.00,0.803
885.50,0.804
886.00,0.806
886.50,0.808
887.00,0.811
887.50,0.813
888.00,0.815
888.50,0.817
889.00,0.819
889.50,0.821
890.00,0.823
890.50,0.825
891.00,0.827
891.50,0.829
892.00,0.831
892.50,0.833
893.00,0.835
893.50,0.837
894.00,0.838
894.50,0.840
895.00,0.843
895.50,0.845
896.00,0.847
896.50,0.848
897.00,0.850
897.50,0.852
898.00,0.854
898.50,0.855
899.00,0.857
899.50,0.858
900.00,0.860
900.50,0.863
901.00,0.865
901.50,0.866
902.00,0.867
902.50,0.869
903.00,0.871
903.50,0.872
904.00,0.874
904.50,0.876
905.00,0.877
905.50,0.879
906.00,0.880
906.50,0.881
907.00,0.883
907.50,0.885
908.00,0.886
908.50,0.887
909.00,0.889
909.50,0.890
910.00,0.891
910.50,0.892
911.00,0.894
911.50,0.896
912.00,0.897
912.50,0.898
913.00,0.899
913.50,0.900
914.00,0.901
914.50,0.903
915.00,0.904
915.50,0.905
916.00,0.906
916.50,0.907
917.00,0.908
917.50,0.908
918.00,0.910
918.50,0.911
919.00,0.912
919.50,0.912
920.00,0.913
920.50,0.913
921.00,0.914
921.50,0.918
922.00,0.918
922.50,0.919
923.00,0.917
923.50,0.918
924.00,0.919
924.50,0.919
925.00,0.920
925.50,0.920
926.00,0.920
926.50,0.921
927.00,0.921
927.50,0.922
928.00,0.922
928.50,0.923
929.00,0.923
929.50,0.923
930.00,0.923
930.50,0.924
931.00,0.924
931.50,0.924
932.00,0.925
932.50,0.924
933.00,0.925
933.50,0.925
934.00,0.925
934.50,0.925
935.00,0.925
935.50,0.925
936.00,0.925
936.50,0.925
937.00,0.924
937.50,0.924
938.00,0.924
938.50,0.924
939.00,0.923
939.50,0.923
940.00,0.923
940.50,0.922
941.00,0.922
941.50,0.922
942.00,0.921
942.50,0.920
943.00,0.920
943.50,0.920
944.00,0.919
944.50,0.919
945.00,0.918
945.50,0.917
946.00,0.916
946.50,0.916
947.00,0.915
947.50,0.914
948.00,0.913
948.50,0.913
949.00,0.912
949.50,0.911
950.00,0.909
950.50,0.909
951.00,0.907
951.50,0.907
952.00,0.906
952.50,0.905
953.00,0.903
953.50,0.902
954.00,0.901
954.50,0.899
955.00,0.897
955.50,0.896
956.00,0.895
956.50,0.894
957.00,0.892
957.50,0.891
958.00,0.889
958.50,0.888
959.00,0.886
959.50,0.884
960.00,0.883
960.50,0.881
961.00,0.880
961.50,0.878
962.00,0.876
962.50,0.874
963.00,0.873
963.50,0.871
964.00,0.869
964.50,0.868
965.00,0.866
965.50,0.863
966.00,0.861
966.50,0.858
967.00,0.859
967.50,0.856
968.00,0.855
968.50,0.850
969.00,0.848
969.50,0.846
970.00,0.844
970.50,0.842
971.00,0.839
971.50,0.837
972.00,0.834
972.50,0.832
973.00,0.830
973.50,0.828
974.00,0.826
974.50,0.824
975.00,0.821
975.50,0.818
976.00,0.816
976.50,0.814
977.00,0.811
977.50,0.809
978.00,0.806
978.50,0.803
979.00,0.800
979.50,0.797
980.00,0.795
980.50,0.792
981.00,0.790
981.50,0.787
982.00,0.784
982.50,0.781
983.00,0.778
983.50,0.775
984.00,0.772
984.50,0.769
985.00,0.767
985.50,0.767
986.00,0.765
986.50,0.761
987.00,0.756
987.50,0.753
988.00,0.750
988.50,0.747
989.00,0.744
989.50,0.742
990.00,0.739
990.50,0.736
991.00,0.733
991.50,0.731
992.00,0.728
992.50,0.725
993.00,0.722
993.50,0.719
994.00,0.716
994.50,0.713
995.00,0.709
995.50,0.707
996.00,0.704
996.50,0.701
997.00,0.698
997.50,0.695
998.00,0.692
998.50,0.689
999.00,0.686
999.50,0.683
1000.00,0.680
1000.50,0.679
1001.00,0.675
1001.50,0.671
1002.00,0.667
1002.50,0.664
1003.00,0.661
1003.50,0.658
1004.00,0.655
1004.50,0.652
1005.00,0.649
1005.50,0.646
1006.00,0.642
1006.50,0.640
1007.00,0.637
1007.50,0.633
1008.00,0.631
1008.50,0.628
1009.00,0.625
1009.50,0.621
1010.00,0.617
1010.50,0.614
1011.00,0.612
1011.50,0.608
1012.00,0.605
1012.50,0.603
1013.00,0.600
1013.50,0.597
1014.00,0.593
1014.50,0.590
1015.00,0.587
1015.50,0.584
1016.00,0.581
1016.50,0.578
1017.00,0.575
1017.50,0.573
1018.00,0.570
1018.50,0.567
1019.00,0.562
1019.50,0.559
1020.00,0.557
1020.50,0.554
1021.00,0.551
1021.50,0.548
1022.00,0.545
1022.50,0.542
1023.00,0.540
1023.50,0.536
1024.00,0.533
1024.50,0.530
1025.00,0.528
1025.50,0.525
1026.00,0.522
1026.50,0.519
1027.00,0.517
1027.50,0.514
1028.00,0.511
1028.50,0.509
1029.00,0.507
1029.50,0.504
1030.00,0.500
1030.50,0.498
1031.00,0.495
1031.50,0.492
1032.00,0.489
1032.50,0.486
1033.00,0.484
1033.50,0.481
1034.00,0.478
1034.50,0.475
1035.00,0.473
1035.50,0.469
1036.00,0.466
1036.50,0.465
1037.00,0.463
1037.50,0.460
1038.00,0.455
1038.50,0.453
1039.00,0.450
1039.50,0.447
1040.00,0.444
1040.50,0.442
1041.00,0.439
1041.50,0.436
1042.00,0.433
1042.50,0.431
1043.00,0.428
1043.50,0.425
1044.00,0.423
